Teamwork and Leadership,Stress Management,Social Interaction,Team Dynamics,Emotional Intelligence,Problem Solving,Analytical Thinking,Decision Making,Adaptability,Academic Interests,Work Environment Preference,Motivation,Career Values,Leadership and Responsibility,Career Recommendation
1,1,2,1,3,1,2,4,2,2,5,1,2,4,Teacher
5,4,2,1,3,5,3,5,3,2,4,3,5,4,Entrepreneur
3,5,4,1,3,5,4,4,3,3,1,5,1,2,Psychologist
2,4,2,5,1,3,1,3,4,2,2,4,5,4,Lawyer
4,2,5,3,1,2,5,3,4,2,2,3,1,5,Cybersecurity Expert
4,1,5,4,4,5,3,5,1,1,4,3,2,2,Data Scientist
2,1,5,1,4,1,4,2,1,5,2,2,2,3,Psychologist
4,4,4,2,4,1,1,3,5,3,4,1,3,4,Graphic Designer
3,3,2,5,1,3,3,5,2,3,5,3,1,4,Architect
1,4,5,2,5,3,2,1,5,2,4,5,5,4,Financial Analyst
5,4,3,2,1,5,4,5,2,3,4,2,5,2,Entrepreneur
3,4,3,1,4,3,2,4,4,3,4,2,1,1,Mechanical Engineer
1,1,2,4,4,2,4,4,5,5,5,5,3,5,Mechanical Engineer
5,5,4,3,5,3,3,4,4,2,3,3,4,4,Graphic Designer
3,5,5,4,5,2,5,5,2,5,5,4,2,5,Doctor
4,4,1,5,3,2,4,3,2,2,5,2,1,2,Psychologist
5,5,3,4,1,3,1,2,5,2,1,1,2,5,Entrepreneur
5,4,3,3,3,3,5,3,4,4,3,3,1,5,Psychologist
